tau_rad,fidelity_amplitude,fidelity_squared,bures_distance_sq
0.0,1.0,1.0,0.0
0.10471975511965977,0.9923279056366062,0.9847146723051332,0.015344188726787555
0.20943951023931953,0.9700825746273986,0.9410602015957222,0.059834850745202894
0.3141592653589793,0.9353921767843526,0.8749585243893695,0.1292156464312948
0.41887902047863906,0.891266278012403,0.794355578322082,0.21746744397519402
0.5235987755982988,0.841013726211527,0.7073040876761973,0.31797254757694593
0.6283185307179586,0.7877393349912972,0.6205332598925312,0.42452133001740555
0.7330382858376183,0.7340239639546252,0.538791179659661,0.5319520720907496
0.8377580409572781,0.6817984501817548,0.46484912667024275,0.6364030996364904
0.9424777960769379,0.632362555246163,0.3998824012774566,0.735274889507674
1.0471975511965976,0.5864842162271378,0.34396373588356005,0.8270315675457245
1.1519173063162573,0.5445259876751231,0.2965085512535683,0.9109480246497539
1.2566370614359172,0.5065658396740859,0.25660894992471167,0.9868683206518283
1.361356816555577,0.4724971663092206,0.22325357217024328,1.0550056673815589
1.4660765716752366,0.4421043523130732,0.19545625833416197,1.1157912953738536
1.5707963267948966,0.41511614352278464,0.17232141261322914,1.1697677129544308
1.6755160819145563,0.3912412504471093,0.1530697160514177,1.2175174991057816
1.780235837034216,0.3701907987099978,0.13704122744954614,1.2596184025800043
1.8849555921538759,0.35169156859641393,0.12368695942180612,1.2966168628071721
1.9896753472735356,0.33549306739538104,0.11255559827036168,1.3290138652092378
2.0943951023931953,0.3213706413979732,0.1032790891525447,1.3572587172040536
2.199114857512855,0.3091261591140361,0.09555898224859638,1.3817476817719276
2.3038346126325147,0.2985872933952085,0.08915437177707633,1.402825413209583
2.4085543677521746,0.2896060724718844,0.08387167721259037,1.4207878550562312
2.5132741228718345,0.28205712482736917,0.07955622166588211,1.4358857503452618
2.617993877991494,0.2758358795046823,0.07608543242212161,1.4483282409906355
2.722713633111154,0.2708568772586684,0.07336344795831737,1.4582862454826633
2.827433388230814,0.2670522806735287,0.07131692061293315,1.4658954386529426
2.9321531433504733,0.2643706300088463,0.0698918300112743,1.4712587399823074
3.036872898470133,0.2627758671793261,0.06905115637184683,1.4744482656413478
3.141592653589793,0.2622466368611264,0.06877329854497151,1.475506726277747
